STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1415,ALL_RATE_1415,MAM_COHORT_1415,MAM_RATE_1415,MAS_COHORT_1415,MAS_RATE_1415,MBL_COHORT_1415,MBL_RATE_1415,MHI_COHORT_1415,MHI_RATE_1415,MTR_COHORT_1415,MTR_RATE_1415,MWH_COHORT_1415,MWH_RATE_1415,CWD_COHORT_1415,CWD_RATE_1415,ECD_COHORT_1415,ECD_RATE_1415,LEP_COHORT_1415,LEP_RATE_1415,DATE_CUR
UTAH,49,4900360,GRANITE DISTRICT,490036000234,KEARNS HIGH,496,79,7,GE50,25,GE80,10,GE50,190,75-79,1,PS,263,75-79,59,70-79,243,80-84,63,75-79,26NOV16
UTAH,49,4900360,GRANITE DISTRICT,490036000248,OLYMPUS HIGH,480,90,6,GE50,24,GE80,15,GE50,41,GE90,2,PS,392,91,29,40-59,111,75-79,21,60-79,26NOV16
UTAH,49,4900360,GRANITE DISTRICT,490036000261,SKYLINE HIGH,512,96,5,PS,45,GE90,6,GE50,29,GE80,,,427,96,12,GE50,53,GE90,6,GE50,26NOV16
UTAH,49,4900360,GRANITE DISTRICT,490036000764,TAYLORSVILLE HIGH,556,81,7,GE50,60,GE90,12,GE50,133,75-79,4,PS,340,82,44,40-49,213,80-84,49,70-79,26NOV16
UTAH,49,4900360,GRANITE DISTRICT,490036000898,HUNTER HIGH,667,85,5,PS,69,90-94,10,GE50,251,80-84,,,332,85,70,75-79,326,86,79,75-79,26NOV16
UTAH,49,4900360,GRANITE DISTRICT,490036001399,YOUTH EDUCATIONAL SUPPORT SCHOOL,234,8,5,PS,6,LT50,15,LT50,84,6-9,1,PS,123,6-9,15,LT50,28,21-39,11,LT50,26NOV16
UTAH,49,4900390,IRON DISTRICT,490039000278,CEDAR CITY HIGH,252,91,10,GE50,1,PS,2,PS,22,GE80,2,PS,215,90-94,33,70-79,63,80-84,2,PS,26NOV16
UTAH,49,4900390,IRON DISTRICT,490039000284,PAROWAN HIGH,49,GE90,1,PS,2,PS,.,.,2,PS,,,44,GE90,5,PS,17,60-79,1,PS,26NOV16
UTAH,49,4900390,IRON DISTRICT,490039000473,CANYON VIEW HIGH,210,92,7,GE50,1,PS,.,.,20,GE80,5,PS,177,90-94,24,60-79,83,85-89,2,PS,26NOV16
UTAH,49,4900390,IRON DISTRICT,490039000872,SOUTHWEST EDUCATIONAL ACADEMY,76,55-59,7,LT50,2,PS,2,PS,7,GE50,,,58,60-69,20,40-59,40,60-69,3,PS,26NOV16
