STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ARIZONA,04,0400811,Ombudsman Educational Services  LTD  a subsidiary of Educati,040081102894,Ombudsman - Charter Central,31,11-19,6,LT50,.,.,.,.,25,LE20,.,.,.,.,3,PS,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400811,Ombudsman Educational Services  LTD  a subsidiary of Educati,040081102950,Ombudsman - Charter Valencia,61,20-24,7,LT50,1,PS,.,.,51,20-29,.,.,2,PS,6,GE50,1,PS,5,PS,30AUG15,29AUG15
ARIZONA,04,0400813,Camp Verde Unified School District dba South Verde Technolog,040081303053,South Verde Technology Magnet,32,40-49,6,LT50,.,.,.,.,8,GE50,.,.,14,LT50,4,PS,9,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400814,CPLC Community Schools dba Hiaki High School,040081402554,Hiaki High School,23,40-59,18,40-59,.,.,.,.,5,PS,.,.,.,.,8,GE50,19,40-59,.,.,30AUG15,29AUG15
ARIZONA,04,0400816,Educational Options Foundation,040081602998,EdOptions High School,11,LT50,.,.,.,.,4,PS,5,PS,.,.,2,PS,1,PS,8,LT50,.,.,30AUG15,29AUG15
ARIZONA,04,0400816,Educational Options Foundation,040081603219,EdOptions AOI Program,244,11,14,LT50,6,LT50,14,LT50,124,6-9,.,.,82,15-19,9,LT50,141,6-9,2,PS,30AUG15,29AUG15
ARIZONA,04,0400818,BASIS School  Inc.,040081803197,BASIS Oro Valley,25,GE80,.,.,4,PS,2,PS,1,PS,.,.,16,GE80,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400819,Anthem Preparatory Academy,040081903187,Great Hearts Academies - Anthem Prep,15,GE50,.,.,2,PS,1,PS,1,PS,.,.,10,GE50,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400820,Compass Points International  Inc,040082002672,Northpoint Expeditionary Learning Academy,25,GE80,1,PS,1,PS,.,.,1,PS,.,.,21,GE80,5,PS,10,GE50,.,.,30AUG15,29AUG15
ARIZONA,04,0400821,Pima Prevention Partnership,040082103226,Arizona Collegiate High School,62,35-39,1,PS,.,.,3,PS,57,30-39,.,.,.,.,6,LT50,57,30-39,4,PS,30AUG15,29AUG15
ARIZONA,04,0400823,Kaizen Education Foundation dba Mission Heights Preparatory,040082303296,Mission Heights Preparatory High School,70,40-44,2,PS,3,PS,3,PS,32,30-39,.,.,27,40-59,3,PS,36,20-29,.,.,30AUG15,29AUG15
ARIZONA,04,0400827,Ahwatukee Foothills Prep Early College High School  Inc.,040082703309,Mosaica Online High School of Arizona,7,LT50,.,.,.,.,1,PS,2,PS,.,.,4,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400828,Arizona Agribusiness & Equine Center  Inc.,040082803199,Arizona Agribusiness & Equine Center - Estrella,53,GE90,.,.,3,PS,3,PS,14,GE50,.,.,33,GE90,1,PS,18,GE80,.,.,30AUG15,29AUG15
ARIZONA,04,0400829,BASIS School  Inc.,040082903278,BASIS Peoria,10,GE50,.,.,6,GE50,.,.,.,.,.,.,4,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400830,BASIS School  Inc.,040083003253,BASIS Chandler,29,GE80,.,.,21,GE80,.,.,1,PS,.,.,7,GE50,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400831,BASIS School  Inc.,040083103196,BASIS Flagstaff,5,PS,.,.,.,.,.,.,.,.,.,.,5,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400838,Arizona Agribusiness & Equine Center  Inc.,040083803243,Arizona Agribusiness & Equine Center  Inc. - Prescott Valley,23,GE80,.,.,1,PS,.,.,2,PS,.,.,20,GE80,2,PS,4,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400839,Pima Rose Academy  Inc.,040083903273,Pima Rose Academy,156,15-19,7,LT50,2,PS,2,PS,130,15-19,.,.,13,LT50,20,LE20,135,15-19,3,PS,30AUG15,29AUG15
